Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SOM036,06/04/2016,Jubbada Dhexe,Jillib,Unknown,8,8,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,,,,,,,,,
SOM037,11/04/2016,Jubbada Hoose,unclear,unclear,8,12,3,3,0,0,0,0,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,,,,,,,,,,,,,,,,,,
SOM038,12/05/2016,Shabeellaha Hoose,Afgooye,Unknown,5,5,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,,,,,,,,,
SOM039,27/05/2016,unclear,unclear,Unknown,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM040,21/06/2016,unclear,unclear,Unknown,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM041,30/08/2016,Shabeellaha Hoose,Gobanle,Unknown,2,2,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,,,,,,,,,
SOM042,05/09/2016,Shabeellaha Hoose,Wanlaweyn,Tortoroow,4,4,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,TORTOROOW,-3229928.0,SO-SH,TORTOROOW,Tortoroow,Tortoroow,PPL,2.252412,44.690529
SOM043,26/09/2016,Jubbada Hoose,unclear,Unknown,4,4,0,0,0,0,0,0,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,,,,,,,,,,,,,,,,,,
SOM044,28/09/2016,Mudug,Galcaio,Unknown,10,22,0,2,0,0,3,16,MUDUG,-3227383.0,SO-MU,MUDUG,Mudug,Mudug,ADM1,7.0,48.0,unclear,,,,,,,,,,,,,,,,,
SOM045,07/01/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM046,04/05/2017,Shabeellaha Hoose,unclear,Dar es Salaam,4,9,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,,,,,,,,,,DAARASALAAM,-3218577.0,SO-SH,DAARASALAAM,Daarasalaam,Daarasalaam,PPL,1.922139,44.787128
SOM047,11/06/2017,Jubbada Dhexe,Saakow,Unknown,8,8,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,,,,,,,,,
SOM048,02/07/2017,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,QUNYOBARROW,-3228309.0,SO-JD,QUNYOBARROW,Qunyo Barrow,Qunyo Barrow,PPL,0.800088,43.385188
SOM049,04/07/2017,Jubbada Hoose,Kismayo,Luglaaw,10,13,0,0,0,0,10,10,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,unclear,,,,,,,,,LUGLAAW,-3226339.0,SO-JH,LUGLAAW,Luglaaw,Luglaaw,PPL,-0.203664,42.604395
SOM050,13/07/2017,Jubbada Dhexe,Jilib,Qunyo Barrow,0,0,0,0,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,QUNYOBARROW,-3228309.0,SO-JD,QUNYOBARROW,Qunyo Barrow,Qunyo Barrow,PPL,0.800088,43.385188
SOM051,15/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
