Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
YEM049,11/04/2012,unclear,LAWDAR,Abyan,10,14,0,0,0,0,10,10,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,LAWDAR,10618528.0,YE-AB,LAWDAR,Lawdar,Lawdar,ADM2,13.709611,45.800769,,,,,,,,,
YEM050,14/04/2012,unclear,AZZAHIR,ALBAYDA,3,7,0,0,0,0,0,0,ALBAYDA,-3182650.0,YE-BA,ALBAYDA,Al Bayḑā’,Al Bayda',ADM1,14.34166,45.394422,AZZAHIR,10618559.0,YE-BA,AZZAHIR,Az Zāhir,Az Zahir,ADM2,13.962396,45.421823,,,,,,,,,
YEM051,16/04/2012,Azzan,unclear,Shabwah,5,7,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
YEM052,18/04/2012,unclear,unclear,Abyan,6,10,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM053,21/04/2012,unclear,LAWDAR,Abyan,12,17,0,0,0,0,0,5,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,LAWDAR,10618528.0,YE-AB,LAWDAR,Lawdar,Lawdar,ADM2,13.709611,45.800769,,,,,,,,,
YEM054,22/04/2012,Sanda,unclear,Marib,4,4,0,0,0,0,0,0,MARIB,-3189596.0,YE-MA,MARIB,Ma’rib,Ma'rib,ADM1,15.416667,45.35,,,,,,,,,,SA,12338383.0,YE-MA,SA,Şā‘,Sa`,FRM,15.674932,44.751258
YEM055,23/04/2012,unclear,Nisab,Shabwah,3,3,0,0,0,0,2,2,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,NISAB,10618512.0,YE-SH,NISAB,Nişāb,Nisab,ADM2,14.478977,46.44767,,,,,,,,,
YEM056,23/04/2012,unclear,LAWDAR,Abyan,0,4,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,LAWDAR,10618528.0,YE-AB,LAWDAR,Lawdar,Lawdar,ADM2,13.709611,45.800769,,,,,,,,,
YEM057,26/04/2012,unclear,MUDIYAH,Abyan,3,3,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,MUDIYAH,10618524.0,YE-AB,MUDIYAH,Mūdīyah,Mudiyah,ADM2,13.885422,46.219647,,,,,,,,,
YEM058,29/04/2012,unclear,unclear,Jawf,3,3,0,0,0,0,0,0,ALJAWF,-3188323.0,YE-JA,ALJAWF,Al Jawf,Al Jawf,ADM1,16.689733,45.611556,,,,,,,,,,,,,,,,,,
YEM059,30/04/2012,unclear,LAWDAR,Abyan,4,4,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,LAWDAR,10618528.0,YE-AB,LAWDAR,Lawdar,Lawdar,ADM2,13.709611,45.800769,,,,,,,,,
YEM060,30/04/2012,Jaar,Khanfir,Abyan,3,3,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM061,02/05/2012,unclear,Zinjibar,Abyan,10,15,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM062,06/05/2012,Wadi Rafad,unclear,Shabwah,2,4,1,1,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,WADIRAFAD,-3190892.0,YE-SH,WADIRAFAD,Wādī Rafad,Wadi Rafad,WAD,14.093611,48.138333
YEM063,10/05/2012,Jaar,Khanfir,Abyan,5,12,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM064,10/05/2012,Shaqra,unclear,Abyan,2,4,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,SHAQRA,-3191747.0,YE-AB,SHAQRA,Shaqrā’,Shaqra',PPL,13.35677,45.697085
YEM065,12/05/2012,Al Hosoon,unclear,Marib,6,7,0,0,0,0,0,0,MARIB,-3189596.0,YE-MA,MARIB,Ma’rib,Ma'rib,ADM1,15.416667,45.35,,,,,,,,,,unclear,,,,,,,,
YEM066,12/05/2012,unclear,unclear,unclear,10,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM067,12/05/2012,unclear,unclear,unclear,6,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM068,14/05/2012,Shaqra,unclear,Abyan,10,10,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,SHAQRA,-3191747.0,YE-AB,SHAQRA,Shaqrā’,Shaqra',PPL,13.35677,45.697085
YEM069,14/05/2012,unclear,LAWDAR,Abyan,6,6,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,LAWDAR,10618528.0,YE-AB,LAWDAR,Lawdar,Lawdar,ADM2,13.709611,45.800769,,,,,,,,,
YEM070,14/05/2012,Jaar,Khanfir,Abyan,0,0,0,0,0,0,2,2,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM071,15/05/2012,Jaar,Khanfir,Abyan,14,42,14,26,0,0,20,21,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM072,16/05/2012,unclear,MUDIYAH,Abyan,16,16,0,0,0,0,5,14,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,MUDIYAH,10618524.0,YE-AB,MUDIYAH,Mūdīyah,Mudiyah,ADM2,13.885422,46.219647,,,,,,,,,
YEM073,17/05/2012,Shibam,unclear,Hadramawt,2,3,0,0,0,0,0,2,HADRAMAWT,-3187120.0,YE-HD,HADRAMAWT,Ḩaḑramawt,Hadramawt,ADM1,16.0,49.0,,,,,,,,,,SHIBAM,-3191908.0,YE-HD,SHIBAM,Shibām,Shibam,PPL,15.926944,48.626667
YEM074,17/05/2012,Shaqra,unclear,Abyan,5,6,0,2,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,SHAQRA,-3191747.0,YE-AB,SHAQRA,Shaqrā’,Shaqra',PPL,13.35677,45.697085
YEM075,19/05/2012,Jaar,Khanfir,Abyan,3,5,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM076,19/05/2012,unclear,unclear,ALBAYDA,2,2,0,0,0,0,0,0,ALBAYDA,-3182650.0,YE-BA,ALBAYDA,Al Bayḑā’,Al Bayda',ADM1,14.34166,45.394422,,,,,,,,,,,,,,,,,,
YEM077,20/05/2012,Jaar,Khanfir,Abyan,0,9,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM078,28/05/2012,Manaseh,unclear,ALBAYDA,3,5,0,2,0,0,4,4,ALBAYDA,-3182650.0,YE-BA,ALBAYDA,Al Bayḑā’,Al Bayda',ADM1,14.34166,45.394422,,,,,,,,,,unclear,,,,,,,,
YEM079,28/05/2012,Mukalla,unclear,Abyan,5,5,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,unclear,,,,,,,,
YEM080,01/06/2012,unclear,Al Mahfid,Abyan,11,12,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ALMAHFID,10618515.0,YE-AB,ALMAHFID,Al Maḩfid,Al Mahfid,ADM2,14.01847,46.755958,,,,,,,,,
YEM081,07/06/2012,unclear,MUDIYAH,Abyan,2,2,0,0,0,0,7,7,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,MUDIYAH,10618524.0,YE-AB,MUDIYAH,Mūdīyah,Mudiyah,ADM2,13.885422,46.219647,,,,,,,,,
YEM082,07/06/2012,Jaar,Khanfir,Abyan,3,3,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM083,07/06/2012,Jaar,Khanfir,Abyan,5,5,0,0,0,0,3,3,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM084,11/06/2012,Azzan,unclear,Shabwah,16,16,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
YEM085,13/06/2012,Jaar,Khanfir,Abyan,10,18,0,0,0,0,1,1,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM086,13/06/2012,Azzan,unclear,Shabwah,9,9,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
