Strike ID,Date,Loc,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
Ob259,23/01/2012,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,0,2,0,0,0,0,0,0
Ob260,08/02/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,9,10,0,0,0,0,2,12
Ob261,09/02/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,8,0,3,0,1,3,3
Ob262,16/02/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,5,6,0,0,0,0,4,7
Ob263,16/02/2012,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,8,15,0,0,0,0,3,3
Ob264,09/03/2012,Shaktoi Mandao,unclear,South Waziristan,Khyber Pakhtunkhwa,4,15,0,0,0,0,0,3
Ob265,09/03/2012,Nishpa,unclear,South Waziristan,Khyber Pakhtunkhwa,6,6,0,0,0,0,0,0
Ob266,13/03/2012,Wagdalai,Barmal,South Waziristan,Khyber Pakhtunkhwa,6,8,0,0,0,0,2,4
Ob267,13/03/2012,unclear,unclear,unclear,unclear,6,7,0,0,0,0,3,3
Ob268,30/03/2012,Sarai,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,3,3
Ob269,29/04/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,1,3
Ob270,05/05/2012,"Guldar Kot, Dre Nishtar area",unclear,North Waziristan,Khyber Pakhtunkhwa,8,10,0,0,0,0,1,3
Ob271,23/05/2012,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,1,5,0,0,0,0,1,2
Ob272,24/05/2012,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,5,12,0,8,0,0,3,4
Ob273,26/05/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,1,2
Ob274,28/05/2012,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,4,10,0,0,0,0,4,4
Ob275,28/05/2012,Degan,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,2,5,0,0,0,0,0,0
Ob276,02/06/2012,Khawashi Khel,Wana,South Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,0,0
Ob277,03/06/2012,unclear,Barmal,South Waziristan,Khyber Pakhtunkhwa,0,10,0,0,0,0,4,10
Ob278,04/06/2012,Khushali,Mirali,North Waziristan,Khyber Pakhtunkhwa,14,18,0,6,0,0,3,6
Ob279,13/06/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,0,0
