Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
YEM125,17/04/2013,Wassab al Ali,unclear,Damar,4,4,0,4,0,0,0,0
YEM126,21/04/2013,Wadi Abida,unclear,Marib,2,2,0,0,0,0,2,3
YEM127,18/05/2013,unclear,Al Mahfid,Abyan,4,9,0,0,0,0,0,0
YEM128,20/05/2013,unclear,Rada,ALBAYDA,2,2,0,0,0,0,0,0
YEM129,01/06/2013,unclear,Al Mahfid,Abyan,7,8,0,0,0,0,2,3
YEM130,09/06/2013,Al Makashma,Khabb wa ash Sha`f,Jawf,2,7,1,1,1,1,0,0
YEM131,27/07/2013,unclear,Al Mahfid,Abyan,4,9,0,0,0,0,0,0
YEM132,30/07/2013,unclear,As Said,Shabwah,3,4,0,0,0,0,0,0
YEM133,01/08/2013,Wadi Ser,unclear,Hadramawt,3,5,4,5,1,1,3,3
YEM134,06/08/2013,Wadi Abida,unclear,Marib,4,4,0,0,0,0,0,0
YEM135,07/08/2013,unclear,unclear,Shabwah,6,8,0,0,0,0,0,0
YEM136,08/08/2013,Wadi Abida,unclear,Marib,3,8,2,2,2,2,0,0
YEM137,08/08/2013,Al Ayoun,unclear,Hadramawt,2,7,0,0,0,0,0,0
YEM138,08/08/2013,unclear,Al Qatn,Hadramawt,3,5,0,0,0,0,0,0
YEM139,10/08/2013,Al Askariya,unclear,Lahij,2,5,0,0,0,0,2,5
YEM140,30/08/2013,Manaseh,unclear,ALBAYDA,4,6,0,0,0,0,0,0
YEM141,19/11/2013,unclear,Ghayl Ba Wazir,Hadramawt,5,5,0,0,0,0,0,0
YEM142,26/11/2013,unclear,Al Mahfid,Abyan,12,12,0,0,0,0,0,0
YEM143,09/12/2013,unclear,Al Qatn,Hadramawt,3,3,0,0,0,0,0,0
