Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
SOM062,07/09/2017,Shabeellaha Hoose,Barawe,Unknown,1,1,0,0,0,0,0,0
SOM063,13/09/2017,unclear,unclear,Unknown,6,6,0,0,0,0,0,0
SOM064,30/09/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM065,02/10/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM066,16/10/2017,Shabeellaha Hoose,Afgooye,Bariire,0,5,0,2,0,0,0,8
SOM067,03/11/2017,Puntland,unclear,Unknown,3,20,0,0,0,0,0,0
SOM068,09/11/2017,Bay,unclear,unclear,3,3,0,0,0,0,0,0
SOM069,10/11/2017,Shabeellaha Hoose,Afgooye,Basra,13,13,0,3,0,0,0,0
SOM070,11/11/2017,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM071,12/11/2017,Shabeellaha Hoose,unclear,unclear,3,3,0,3,0,0,0,0
SOM072,12/11/2017,Puntland,unclear,Unknown,23,23,0,0,0,0,0,0
SOM073,13/11/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM074,14/11/2017,Shabeellaha Hoose,unclear,unclear,6,6,0,0,0,0,0,0
SOM075,21/11/2017,Bay,unclear,unclear,100,100,0,0,0,0,0,0
SOM076,27/11/2017,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM077,12/12/2017,Shabeellaha Hoose,Qoryooley,Mubaarak,0,0,0,0,0,0,0,0
SOM078,15/12/2017,Jubbada Hoose,unclear,unclear,8,8,0,0,0,0,0,0
SOM079,24/12/2017,unclear,unclear,Unknown,13,13,0,0,0,0,0,0
SOM080,27/12/2017,Shabeellaha Hoose,unclear,unclear,4,4,0,0,0,0,0,0
SOM081,02/01/2018,Shabeellaha Hoose,unclear,unclear,2,2,0,0,0,0,0,0
SOM082,18/01/2018,Jubbada Hoose,unclear,unclear,4,4,0,0,0,0,0,0
SOM083,18/01/2018,Shabeellaha Dhexe,unclear,Unknown,0,5,0,0,0,5,0,6
SOM084,06/02/2018,Jubbada Dhexe,Jilib,Qunyo Barrow,0,0,0,0,0,0,0,0
SOM085,19/02/2018,Jubbada Dhexe,Jilib,Unknown,3,3,0,0,0,0,0,0
SOM086,21/02/2018,Jubbada Hoose,Jamaame,unclear,4,5,0,2,0,0,0,0
SOM087,26/02/2018,Jubbada Dhexe,Jilib,Unknown,2,2,0,0,0,0,1,1
SOM088,12/03/2018,Jubbada Hoose,Jamaame,Kamsuuma,0,0,0,0,0,0,0,0
SOM089,13/03/2018,Shabeellaha Dhexe,Jawhar,Jamecco,12,12,0,0,0,0,15,15
SOM090,19/03/2018,Shabeellaha Hoose,Qoryooley,Mubaarak,2,2,0,0,0,0,3,3
SOM091,01/04/2018,Galguduud,El Bur,Unknown,6,6,2,2,1,1,0,0
SOM092,05/04/2018,Jubbada Dhexe,Jilib,Unknown,3,3,0,0,0,0,0,0
SOM093,11/04/2018,Jubbada Hoose,Afmadoow,Jana Cabdalle,0,0,0,0,0,0,0,0
SOM094,16/04/2018,Shabeellaha Hoose,unclear,unclear,0,0,0,0,0,0,0,0
SOM095,09/05/2018,Shabeellaha Hoose,unclear,unclear,0,5,0,5,0,0,0,0
SOM096,23/05/2018,Shabeellaha Hoose,unclear,unclear,10,10,0,0,0,0,0,0
SOM097,31/05/2018,Shabeellaha Hoose,unclear,unclear,12,12,0,0,0,0,0,0
SOM098,02/06/2018,unclear,unclear,Unknown,27,27,0,0,0,0,0,0
SOM099,03/06/2018,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM100,08/06/2018,unclear,unclear,Unknown,1,1,0,0,0,0,5,5
SOM101,23/07/2018,Jubbada Hoose,unclear,unclear,0,0,0,0,0,0,0,0
SOM102,02/08/2018,unclear,unclear,Unknown,4,4,0,3,0,0,0,0
SOM103,21/08/2018,Jubbada Hoose,unclear,unclear,2,2,0,0,0,0,0,0
SOM104,27/08/2018,Shabeellaha Hoose,unclear,unclear,3,3,0,0,0,0,0,0
SOM105,11/09/2018,Shabeellaha Hoose,Qoryooley,Mubaarak,2,2,0,0,0,0,1,1
SOM106,21/09/2018,Jubbada Hoose,unclear,unclear,18,18,0,0,0,0,0,0
SOM107,01/10/2018,Jubbada Hoose,unclear,unclear,9,9,0,0,0,0,1,1
SOM108,06/10/2018,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0
SOM109,12/10/2018,Mudug,Harardere,Unknown,60,60,0,0,0,0,0,0
SOM110,14/10/2018,Jubbada Hoose,Jamaame,Araara,4,4,0,0,0,0,0,0
SOM111,25/10/2018,Jubbada Dhexe,Jilib,Qunyo Barrow,2,2,0,0,0,0,0,0
