matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd
MUSAQALAH,9,"['23/08/2015', '27/08/2015', '30/08/2015', '01/09/2015', '15/01/2017', '01/12/2017', '04/12/2017', '24/05/2018', '22/09/2019']","[40, 0, 0, 0, 15, 5, 6, 50, 2]","[40, 0, 0, 0, 15, 5, 6, 50, 62]","[0, 0, 0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 40]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 10, 0, 0, 0, 0]","[0, 0, 0, 0, 10, 0, 0, 0, 0]",10536942.0,AF-HEL,Mūsá Qal‘ah,Musa Qal`ah,32.469052,64.736318
NADALI,8,"['08/02/2016', '01/08/2016', '25/08/2016', '09/06/2017', '02/07/2017', '01/04/2018', '16/08/2018', '24/11/2018']","[15, 2, 24, 2, 15, 0, 27, 2]","[15, 2, 32, 10, 15, 0, 27, 2]","[0, 0, 0, 0, 0, 0, 3, 2]","[0, 0, 8, 0, 0, 0, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]","[10, 0, 0, 0, 9, 0, 7, 13]","[10, 0, 0, 16, 9, 0, 7, 13]",10536943.0,AF-HEL,Nād ‘Alī,Nad `Ali,31.577982,63.790718
NAHRESARAJ,3,"['31/08/2015', '25/05/2018', '04/03/2020']","[2, 1, 0]","[2, 1, 0]","[2, 0, 0]","[2, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",10536944.0,AF-HEL,Nahr-e Sarāj,Nahr-e Saraj,31.834776,64.612387
NAWAH,3,"['19/02/2017', '12/08/2017', '10/09/2018']","[1, 5, 30]","[1, 5, 30]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 0, 0]","[2, 0, 0]",10536898.0,AF-GHA,Nāwah,Nawah,32.326913,67.897543
NAWAHYEBARAKZAI,1,['03/10/2016'],[12],[12],[0],[0],[0],[0],[0],[0],10536945.0,AF-HEL,Nāwah-ye Bārakzaī,Nawah-ye Barakzai,31.332126,64.2149
NAZIYAN,13,"['16/01/2015', '11/02/2015', '23/03/2015', '09/08/2015', '17/09/2015', '23/10/2015', '29/10/2015', '15/02/2016', '16/07/2016', '27/07/2016', '22/09/2016', '29/05/2017', '29/09/2017']","[3, 2, 9, 2, 5, 6, 3, 15, 15, 2, 5, 3, 15]","[3, 9, 13, 6, 5, 6, 4, 15, 15, 2, 5, 4, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]",10537206.0,AF-NAN,Nāziyān,Naziyan,34.055907,70.825766
NERKH,1,['09/04/2017'],[6],[6],[0],[0],[0],[0],[0],[0],10537271.0,AF-WAR,Nêrkh,Nerkh,34.3206,68.764411
NIKEH,1,['20/01/2018'],[50],[50],[0],[0],[0],[0],[0],[0],10537710.0,AF-PKA,Nīkêh,Nikeh,33.206518,69.240034
OMNAH,1,['12/04/2018'],[7],[7],[0],[0],[0],[0],[3],[3],10537711.0,AF-PKA,Ōmnah,Omnah,32.8942,68.813259
PACHIRWAAGAM,3,"['29/07/2015', '12/05/2016', '22/10/2016']","[12, 1, 5]","[20, 1, 5]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 1, 0]",10537207.0,AF-NAN,Pachīr wa Āgām,Pachir wa Agam,34.087763,70.280585
PULEALAM,2,"['30/08/2017', '04/06/2018']","[13, 0]","[13, 13]","[13, 0]","[13, 0]","[10, 0]","[10, 0]","[12, 0]","[12, 0]",10537179.0,AF-LOG,Pul-e ‘Alam,Pul-e `Alam,33.972288,69.05348
PULEKHUMRI,1,['22/02/2016'],[0],[0],[0],[0],[0],[0],[0],[0],10536771.0,AF-BGL,Pul-e Khumrī,Pul-e Khumri,36.010218,68.668457
QARAHBAGH,2,"['04/09/2017', '08/02/2019']","[0, 0]","[2, 12]","[0, 0]","[2, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 0]",10536998.0,AF-KAB,Qarah Bāgh,Qarah Bagh,34.849386,69.176297
RAGHISTAN,1,['10/10/2017'],[0],[8],[0],[0],[0],[0],[0],[15],10536118.0,AF-BDS,Rāghistān,Raghistan,37.660787,70.67346
SABARI,1,['10/01/2017'],[4],[4],[0],[0],[0],[0],[0],[0],10537949.0,AF-KHO,Şabarī,Sabari,33.543516,69.9118
SANGIN,12,"['13/12/2015', '23/12/2015', '19/07/2016', '31/01/2017', '10/02/2017', '11/02/2017', '14/11/2017', '24/05/2018', '01/02/2019', '06/02/2019', '08/02/2019', '28/02/2019']","[0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 5, 0]","[0, 0, 0, 0, 68, 0, 6, 2, 5, 3, 21, 30]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 26, 0, 6, 0, 0, 0, 21, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 0]",10536948.0,AF-HEL,Sangīn,Sangin,32.123611,64.996532
SARKANI,1,['11/03/2015'],[0],[0],[0],[0],[0],[0],[0],[0],10537898.0,AF-KNR,Sar Kāṉī,Sar Kani,34.750613,71.118641
SARROWZAH,1,['08/06/2016'],[2],[2],[0],[0],[0],[0],[0],[0],10537713.0,AF-PKA,Sar Rowẕah,Sar Rowzah,33.062959,69.039248
SAYYIDABAD,4,"['29/05/2016', '09/02/2019', '23/02/2019', '25/02/2019']","[2, 0, 0, 0]","[2, 11, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",10537272.0,AF-WAR,Sayyidābād,Sayyidabad,33.924849,68.657306
SAYYIDKARAM,4,"['11/10/2017', '05/11/2017', '05/11/2017', '27/05/2018']","[11, 4, 4, 6]","[11, 4, 4, 6]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2, 7, 0, 5]","[2, 7, 0, 5]",10537914.0,AF-PIA,Sayyid Karam,Sayyid Karam,33.712446,69.479727
SHAHJOY,1,['17/05/2016'],[5],[5],[0],[0],[0],[0],[0],[0],10537700.0,AF-ZAB,Shāh Jōy,Shah Joy,32.497695,67.394943
SHAHWALIKOT,3,"['29/05/2016', '24/08/2017', '02/02/2019']","[17, 42, 0]","[22, 42, 12]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 17, 0]","[0, 17, 0]",10537096.0,AF-KAN,Shāh Walī Kōṯ,Shah Wali Kot,32.07954,66.005729
SHERZAD,4,"['26/08/2015', '28/10/2016', '01/07/2017', '23/04/2018']","[4, 2, 4, 2]","[4, 4, 4, 2]","[0, 2, 0, 0]","[0, 4, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 30, 0, 0]",10537209.0,AF-NAN,Shērzād,Sherzad,34.194185,69.980133
SHIGALWASHELTAN,3,"['03/06/2015', '31/10/2015', '14/12/2018']","[3, 2, 8]","[6, 2, 13]","[0, 0, 8]","[0, 0, 13]","[0, 0, 0]","[0, 0, 12]","[0, 0, 17]","[0, 0, 18]",10537899.0,AF-KNR,Shīgal wa Shêltan,Shigal wa Sheltan,35.036301,71.225047
SHORABAK,1,['11/10/2015'],[100],[200],[0],[0],[0],[0],[50],[50],10537237.0,AF-KAN,Shōrābak,Shorabak,30.168419,66.040621
SPERAH,3,"['01/01/2015', '03/01/2015', '02/09/2016']","[0, 7, 7]","[0, 7, 7]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",10537951.0,AF-KHO,Spērah,Sperah,33.15664,69.491204
TAGAB,2,"['22/07/2018', '22/09/2018']","[2, 0]","[2, 0]","[0, 0]","[0, 9]","[0, 0]","[0, 4]","[0, 0]","[0, 12]",10537007.0,AF-KAP,Tagāb,Tagab,34.794559,69.679304
TARINKOT,7,"['09/09/2016', '18/09/2016', '31/05/2017', '09/12/2017', '03/02/2019', '09/02/2019', '13/03/2019']","[0, 7, 25, 8, 0, 0, 5]","[0, 8, 25, 8, 1, 7, 5]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 20, 3, 0, 0, 10]","[0, 0, 20, 3, 0, 0, 10]",10537967.0,AF-URU,Tarīn Kōṯ,Tarin Kot,32.682171,65.916961
WARDUJ,1,['12/04/2018'],[0],[0],[0],[0],[0],[0],[0],[0],10536130.0,AF-BDS,Wardūj,Warduj,36.757076,71.182357
WASHER,1,['10/02/2019'],[0],[7],[0],[0],[0],[0],[0],[0],10536949.0,AF-HEL,Wāshēr,Washer,32.103175,63.946629
ZURMAT,6,"['26/03/2015', '19/11/2016', '08/07/2017', '08/07/2017', '12/07/2018', '31/12/2018']","[0, 1, 7, 7, 0, 7]","[0, 1, 7, 16, 37, 8]","[0, 0, 0, 0, 0, 5]","[0, 0, 0, 1, 11, 6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 3, 0]","[1, 2, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0]",10537937.0,AF-PIA,Zurmat,Zurmat,33.424018,69.041759
unclear,81,"['06/01/2015', '02/03/2015', '18/03/2015', '25/03/2015', '12/04/2015', '28/04/2015', '07/05/2015', '21/05/2015', '27/05/2015', '28/05/2015', '05/06/2015', '19/06/2015', '20/06/2015', '27/06/2015', '04/07/2015', '04/07/2015', '07/07/2015', '14/07/2015', '16/07/2015', '16/07/2015', '08/08/2015', '10/08/2015', '08/11/2015', '17/11/2015', '24/11/2015', '25/11/2015', '22/12/2015', '23/12/2015', '02/01/2016', '06/01/2016', '09/01/2016', '16/01/2016', '22/01/2016', '04/02/2016', '07/04/2016', '28/04/2016', '07/05/2016', '16/05/2016', '26/05/2016', '29/05/2016', '29/06/2016', '19/10/2016', '27/11/2016', '11/12/2016', '15/12/2016', '28/12/2016', '31/12/2016', '28/01/2017', '31/01/2017', '06/02/2017', '09/03/2017', '30/04/2017', '29/06/2017', '02/07/2017', '07/07/2017', '09/07/2017', '15/07/2017', '20/07/2017', '20/07/2017', '21/07/2017', '23/07/2017', '31/07/2017', '09/08/2017', '10/08/2017', '04/09/2017', '18/09/2017', '20/09/2017', '24/09/2017', '27/09/2017', '11/10/2017', '27/11/2017', '14/01/2018', '22/03/2018', '23/03/2018', '21/04/2018', '15/07/2018', '16/08/2018', '15/02/2019', '23/03/2019', '25/03/2019', '01/03/2020']","[0, 1, 0, 0, 3, 3, 4, 4, 5, 1, 14, 4, 4, 5, 12, 0, 25, 28, 8, 6, 10, 3, 3, 8, 8, 10, 3, 3, 5, 0, 10, 22, 10, 3, 3, 15, 0, 3, 4, 6, 10, 8, 7, 7, 4, 2, 0, 7, 0, 2, 20, 7, 3, 1, 14, 2, 0, 4, 0, 9, 0, 7, 8, 0, 12, 0, 11, 5, 5, 4, 7, 3, 8, 1, 0, 12, 1, 0, 13, 5, 6]","[0, 1, 0, 0, 3, 3, 4, 5, 5, 1, 14, 7, 9, 5, 12, 0, 25, 28, 16, 6, 10, 3, 3, 8, 8, 16, 3, 3, 5, 0, 10, 22, 10, 3, 3, 15, 1, 3, 4, 6, 10, 8, 7, 7, 6, 2, 0, 7, 0, 2, 20, 7, 3, 42, 14, 2, 38, 4, 0, 16, 33, 7, 8, 21, 12, 15, 11, 5, 5, 4, 7, 3, 8, 1, 0, 12, 1, 5, 22, 12, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 20, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 11, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 6, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 20, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 36, 11, 0, 0, 0, 0, 2, 25, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 6, 0, 0]",10537891.0,AF-KNR,Darah-ye Pēch,Darah-ye Pech,34.953068,70.916381
