matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SEKHANOKHWAR,1,['22/02/2016'],[22],[25],[0],[0],[0],[0],[0],[0],9102333.0,AF-NAN,Šēkhāno Khwar,Sekhano Khwar,34.468422,70.465051
SHABI,1,['16/01/2016'],[22],[22],[0],[0],[0],[0],[0],[0],-3391353.0,AF-NAN,Shābī,Shabi,34.105633,70.387489
SHAHID,1,['15/07/2016'],[30],[30],[0],[0],[0],[0],[2],[2],6123652.0,AF-HEL,Shahīd,Shahid,30.25396,63.073596
SHAHKAREZ,1,['19/11/2016'],[1],[1],[0],[0],[0],[0],[2],[2],-3391576.0,AF-PIA,Shāh Kārēz,Shah Karez,33.499809,68.963409
SHAL,1,['02/01/2016'],[5],[5],[0],[0],[0],[0],[2],[2],-3391794.0,AF-KNR,Shāl,Shal,35.088562,71.366066
SHERKHAN,1,['15/12/2015'],[9],[9],[0],[0],[0],[0],[0],[0],-3392529.0,AF-GHA,Shēr Khān,Sher Khan,33.283386,68.474763
SHINTAN,1,['04/02/2016'],[3],[3],[0],[0],[0],[0],[0],[0],6272373.0,AF-KNR,Shīn Tan,Shin Tan,34.883678,70.663254
SHORAK,1,['12/08/2017'],[5],[5],[0],[0],[0],[0],[0],[0],-3392742.0,AF-HEL,Shorak,Shorak,31.951472,64.767176
SPINAZHAY,1,['29/05/2017'],[3],[4],[0],[0],[0],[0],[0],[0],9104646.0,AF-NAN,Spīna Zhay,Spina Zhay,34.015121,70.836899
SUR,1,['10/09/2016'],[4],[4],[0],[0],[0],[0],[0],[0],-3393916.0,AF-FRA,Sūr,Sur,32.4753,62.203274
