matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd
ELBUR,1,['01/04/2018'],[6],[6],[2],[2],[1],[1],[0],[0],-3218102.0,SO-GA,El Bur,El Bur,4.685011,46.617599
GALCAIO,1,['28/09/2016'],[10],[22],[0],[2],[0],[0],[3],[16],-3221398.0,SO-MU,Galcaio,Galcaio,6.769722,47.430833
HARARDERE,5,"['12/10/2018', '20/11/2018', '21/11/2018', '21/11/2018', '27/11/2018']","[60, 7, 6, 0, 3]","[60, 7, 6, 0, 3]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",-3231112.0,SO-MU,Harardére,Harardere,4.6544,47.8575
HOBYO,2,"['19/11/2018', '19/11/2018']","[27, 10]","[27, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3224039.0,SO-MU,Hobyo,Hobyo,5.3505,48.5268
ISKUSHUBAN,2,"['01/06/2007', '14/04/2019']","[8, 1]","[12, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3224534.0,SO-BR,Iskushuban,Iskushuban,10.2837,50.23
JAMAAME,9,"['21/02/2018', '12/03/2018', '14/10/2018', '07/01/2019', '08/02/2019', '13/03/2019', '19/04/2019', '19/01/2020', '26/01/2020']","[4, 0, 4, 4, 8, 3, 2, 3, 0]","[5, 0, 4, 4, 8, 3, 2, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",-3224640.0,SO-JH,Jamaame,Jamaame,0.069683,42.744972
JAWHAR,1,['13/03/2018'],[12],[12],[0],[0],[0],[0],[15],[15],-3224704.0,SO-SD,Jawhar,Jawhar,2.780868,45.500484
JILIB,23,"['28/10/2013', '02/12/2015', '31/03/2016', '06/04/2016', '02/07/2017', '13/07/2017', '16/08/2017', '06/02/2018', '19/02/2018', '26/02/2018', '05/04/2018', '06/10/2018', '25/10/2018', '19/01/2019', '23/01/2019', '23/02/2019', '09/04/2019', '25/06/2019', '20/08/2019', '30/09/2019', '19/11/2019', '29/12/2019', '16/01/2020']","[2, 3, 3, 8, 1, 0, 7, 0, 3, 2, 3, 1, 2, 52, 0, 2, 1, 1, 1, 1, 1, 2, 2]","[3, 3, 3, 8, 1, 0, 7, 0, 3, 2, 3, 1, 2, 52, 0, 4, 1, 1, 1, 1, 1, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-3224873.0,SO-JD,Jilib,Jilib,0.48829,42.785348
KISMAYO,3,"['23/06/2011', '25/09/2011', '04/07/2017']","[2, 0, 10]","[2, 0, 13]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 0, 10]","[3, 0, 10]",-3225370.0,SO-JH,Kismayo,Kismayo,-0.358173,42.545365
KURTUNWAAREY,2,"['21/12/2015', '11/04/2019']","[5, 2]","[5, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3225649.0,SO-SH,Kurtunwaarey,Kurtunwaarey,1.610437,44.332892
MARKA,5,"['15/12/2018', '16/12/2018', '01/02/2019', '03/02/2019', '06/02/2019']","[34, 28, 13, 0, 11]","[34, 28, 13, 0, 11]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",-3226862.0,SO-SH,Marka,Marka,1.715938,44.771662
QORYOOLEY,4,"['12/12/2017', '19/03/2018', '11/09/2018', '24/09/2019']","[0, 2, 2, 0]","[0, 2, 2, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 3, 1, 0]","[0, 3, 1, 0]",-3228225.0,SO-SH,Qoryooley,Qoryooley,1.787845,44.52999
SAAKOW,3,"['29/12/2014', '11/06/2017', '09/12/2019']","[2, 8, 1]","[3, 8, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-3228711.0,SO-JD,Saakow,Saakow,1.636683,42.4519
WANLAWEYN,8,"['21/11/2015', '30/08/2016', '05/09/2016', '29/07/2017', '05/05/2019', '22/05/2019', '05/06/2019', '30/09/2019']","[5, 2, 4, 1, 3, 2, 1, 10]","[10, 2, 4, 1, 3, 2, 1, 10]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",-3230450.0,SO-SH,Wanlaweyn,Wanlaweyn,2.6185,44.8938
