matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SOIKHEL,1,['26/03/2009'],[4],[5],[0],[5],[0],[0],[5],[5],176703.0,PK-KP,Soi Khel,Soi Khel,33.032708,71.028999
SOR,1,['01/12/2005'],[6],[6],[2],[3],[2],[2],[0],[0],13553740.0,PK-KP,Sor,Sor,36.443362,72.351511
SPALGA,3,"['21/10/2009', '08/12/2009', '14/12/2010']","[3, 3, 3]","[3, 4, 4]","[0, 0, 0]","[0, 0, 4]","[0, 0, 0]","[0, 0, 0]","[8, 3, 0]","[8, 3, 0]",-2775094.0,PK-KP,Spalga,Spalga,32.931225,70.133706
SURPUL,1,['16/02/2009'],[18],[31],[0],[0],[0],[0],[3],[7],14244079.0,PK-KP,Sur Pul,Sur Pul,34.335215,72.121537
SUWAI,1,['26/04/2017'],[7],[11],[0],[3],[0],[0],[0],[0],9206793.0,PK-KP,Suwai,Suwai,34.539235,72.839174
TAAL,1,['27/08/2010'],[2],[3],[0],[3],[0],[0],[0],[0],-2775567.0,PK-KP,Taal,Taal,34.913336,72.216709
TABBIMURAD,3,"['17/02/2010', '27/06/2010', '25/07/2010']","[4, 5, 4]","[4, 6, 12]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 4, 2]","[3, 4, 4]",-2775447.0,PK-KP,Tabbi Murad,Tabbi Murad,32.456653,70.72615
TABI,1,['06/09/2013'],[5],[7],[0],[0],[0],[0],[3],[7],6245314.0,PK-KP,Tabi,Tabi,33.557159,70.865065
TAL,1,['27/12/2010'],[18],[22],[0],[0],[0],[0],[0],[0],-3872723.0,PK-KP,Tal,Tal,34.952062,71.768064
TAP,1,['15/12/2008'],[2],[3],[0],[3],[0],[0],[3],[3],241744.0,PK-KP,Tap,Tap,32.495693,70.339845
TAPARGHAI,2,"['16/10/2008', '27/08/2009']","[2, 8]","[9, 10]","[0, 0]","[4, 0]","[0, 0]","[0, 0]","[1, 6]","[7, 9]",6193923.0,PK-KP,Taparghai,Taparghai,32.528229,69.813438
TAPPI,4,"['08/01/2010', '15/02/2010', '31/03/2010', '20/05/2011']","[5, 4, 5, 4]","[6, 5, 6, 6]","[5, 0, 5, 0]","[5, 0, 6, 0]","[1, 0, 1, 0]","[1, 0, 1, 0]","[3, 0, 2, 0]","[3, 0, 2, 0]",-2775770.0,PK-KP,Tappi,Tappi,33.53907,71.464201
TARA,1,['05/05/2012'],[8],[10],[0],[0],[0],[0],[1],[3],-3875830.0,PK-KP,Tāra,Tara,33.564635,70.505059
TOI,4,"['09/01/2010', '15/01/2010', '17/01/2010', '25/07/2010']","[15, 6, 14, 14]","[18, 10, 20, 32]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7, 0, 4, 7]","[14, 0, 4, 12]",-2776399.0,PK-KP,Toi,Toi,31.592332,70.202456
TOJIKHEL,1,['06/06/2011'],[7],[9],[0],[0],[0],[0],[2],[2],-3880966.0,PK-KP,Toji Khel,Toji Khel,32.464173,69.534591
TOLKHEL,1,['12/09/2008'],[12],[15],[3],[5],[2],[2],[14],[14],-2776418.0,PK-KP,Tol Khel,Tol Khel,33.074677,70.144977
TOO,1,['06/05/2011'],[7],[18],[6],[6],[0],[0],[4],[4],10792059.0,PK-KP,Too,Too,36.288988,72.522032
TORIKHEL,3,"['08/05/2005', '14/09/2009', '16/04/2010']","[2, 5, 3]","[2, 5, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 3, 2]",396102.0,PK-KP,Tori Khel,Tori Khel,32.905732,70.120856
TRA,1,['06/06/2011'],[3],[5],[0],[0],[0],[0],[0],[0],-3875830.0,PK-KP,Tra,Tra,33.564635,70.505059
TUR,1,['29/07/2012'],[4],[7],[0],[3],[0],[0],[4],[4],-2776608.0,PK-KP,Tur,Tur,33.857588,70.126763
WAGDALAI,1,['13/03/2012'],[6],[8],[0],[0],[0],[0],[2],[4],9122946.0,PK-KP,Wagdalai,Wagdalai,32.562706,69.439328
WARA,1,['05/08/2014'],[5],[7],[0],[0],[0],[0],[2],[3],-3880933.0,PK-KP,Wara,Wara,32.401667,69.681667
ZAMZOLA,1,['16/01/2007'],[8],[8],[8],[8],[1],[1],[0],[0],248256.0,PK-KP,Zamzola,Zamzola,32.693077,70.086624
ZANDANI,1,['15/01/2010'],[5],[10],[0],[0],[0],[0],[3],[3],-2777607.0,PK-KP,Zandani,Zandani,31.813659,70.676781
ZARIN,1,['20/08/2008'],[6],[12],[0],[0],[0],[0],[5],[5],146888.0,PK-KP,Zarin,Zarin,32.8827,70.996295
ZARKAI,1,['20/06/2011'],[2],[5],[0],[0],[0],[0],[0],[0],155320.0,PK-KP,Zarkai,Zarkai,32.984954,71.088161
ZEBAIALGAD,1,['28/09/2010'],[4],[4],[0],[0],[0],[0],[2],[2],-3878905.0,PK-KP,Zebai Algad,Zebai Algad,32.818876,69.740466
ZER,2,"['11/06/2010', '06/07/2012']","[10, 13]","[15, 24]","[0, 3]","[0, 18]","[0, 0]","[0, 0]","[10, 2]","[12, 22]",-3878997.0,PK-KP,Zer,Zer,32.878302,69.610038
ZERALITA,1,['28/07/2008'],[7],[12],[1],[5],[0],[2],[3],[3],9122893.0,PK-KP,Zera Lita,Zera Lita,32.527256,69.346534
unclear,3,"['16/05/2009', '22/11/2010', '11/03/2011']","[25, 3, 4]","[40, 6, 12]","[9, 0, 5]","[9, 0, 5]","[0, 0, 0]","[0, 0, 0]","[2, 2, 0]","[2, 3, 0]",,,,,,
