Latitude,Longitude,town,country,strikes,deaths,injuries,civilians,children,photo_height,photo_reference,photo_width,photo_attribution
32.98649192,70.04608154,Chashma,Pakistan,1,2,3,0,Unknown,3096,CmRaAAAATE6wh4TUBCOszc2MIKAVCGQlxnr9nae2Aj5JbscKOJjCFAhaSvU5895BLvgYVKt0oWYNPVdphnkWT9liStKEOCvj6XCP4VAxxNPGtqOQDsDWXzXIteslE-eG52WOlqyAEhDO-JqakuyEwxQc8lnsZLYRGhTofl4eIf6MG584J2HAxYYJXhrblg,4128,"<a href=""https://maps.google.com/maps/contrib/106868971837358619178/photos"">Usama Munir</a>"
32.59125977,70.15396057,Kateera,Pakistan,1,3,2,0,0,""
32.97958015,70.08590698,Tapi Tool,Pakistan,1,2,3,0,0,""
32.29337255,69.49728012,Shin Warsak,Pakistan,4,9,13,0,0,""
32.53986719,69.88197327,Madin Village,Pakistan,1,3,5,0,0,3000,CmRaAAAAyZqTbATKXUIo-0zRl2UDPolTRcF0QesNKVdLGaKgYaZnRlBRxDCWIC6eVjwOElVcGX9ts8sIVo5kNtrBWEFVz8btBvRId3hykYsq5vp6d3l4irWytAsUTJAm4LqL-z76EhB65K41wv3vhPfUkgIdoda1GhQPE_rlyp5BfH8xHLruvum5hQ_43w,4512,"<a href=""https://maps.google.com/maps/contrib/109262133893690768896/photos"">MUHAMMAD IMRAN</a>"
32.95340416,70.26224613,Zharki,Pakistan,1,7,1,7,1,""
32.51613104,69.86515045,Narsi Khel,Pakistan,1,26,15,9,1,""
33.68035403,70.29361725,Sur Pul,Pakistan,1,30,7,0,0,""
32.48891359,70.00282288,Sararogha,Pakistan,4,20,14,0,0,""
33.80197352,70.28022766,Barjo,Pakistan,1,14,50,Unknown,0,""
32.96661914,70.31747818,Sokhel,Pakistan,1,4,5,0,0,""
33.66992557,70.91108322,Khadezai,Pakistan,1,12,16,5,3,405,CmRaAAAA7-JbEAOq9VZybbIHrYSw8otc-eyY9xFIFXWcEcYzTTf0TXrQf6qCnjYZuYt0kGGEK_L1lgpNB8Rno1GygeUXf9mReZNYAMcuhdPH1x0RfF6k5ur98_MURaLRmR85kUyiEhB3pdmnaas-BzKlA4QKj3MXGhQTodm5rsM3CdwQMk-ajv3UzQh8kA,720,"<a href=""https://maps.google.com/maps/contrib/113695404686188814741/photos"">Ameen Gull</a>"
32.51699955,69.78326797,Kaniguram,Pakistan,1,6,4,0,0,3024,CmRaAAAA2FuWLvbrEUwfYbbJMNe8SAQgeY-VP-OVkxXuuBD_DGraxTqvzZycvqf2MRJtehiH4iq57uBi1R7DeM_UF5FJzEgvI0-P5O8uOkGInyPo0xzaVWfDpU-HoWYmhg7w8Gf-EhCFeVvgUkU1HvoRoVz6-QqgGhQ3q_L3LsVmWk1nrHoTLbBoZcwplg,4032,"<a href=""https://maps.google.com/maps/contrib/111295245122986075170/photos"">Munir A</a>"
32.47776364,70.01981735,Tabbi Langhar Khel,Pakistan,1,9,7,Unknown,0,""
32.29787083,69.34604645,Sara Khwara,Pakistan,1,8,4,0,0,""
33.00348103,70.2725029,Khesoor,Pakistan,4,41,2,19,0,720,CmRaAAAAZJE-gL_HYFmjmJJAWuxqRh7HJES3ydjVo32vTI0oy-SIp5mtBKTEBNXBKuM_dSNEMWObzsPX2uj5XYfzJrpy2sUutWpppeEVHIhmN3LZIdJIuJz770SDVG4tQykdyOefEhBCuPoDDzo6LpY-Tth7ycSvGhRFyalQHlr_qMH5h6FVwR71mRepQw,1280,"<a href=""https://maps.google.com/maps/contrib/100687781431184445671/photos"">Jawed Shareef</a>"
32.51569678,69.88162994,Marda Algad,Pakistan,1,3,0,0,0,""
